id, , , , ,,,
0, 意識はありますか,1,15,1,3, , 0:
1, 歩くことができますか,3,-1,1,3, , 0:
2,  ,15,15,0,0, ,
3, 正しい受け答えができますか,4,-1,1,3, , 0:
4, からだが冷たくなっていますか,-1,6,3,1, 0:, 
5, 出血はありますか,11,-1,2,1, , 
6, 体温が高いですか,7,8,2,1, , 
7, 大量に汗をかいていますか,-1,8,3,1, 5:,
8, 顔色、唇、耳の色が悪いですか,9,10,2,1, , 
9, 冷や汗をかいていますか,-1,10,3,1, 0:,
10, 吐き気がありますか,12,13,2,1, , 
11, 出血が多いですか,-1,-1,3,1, 3:, 
12, 吐いたものに血が混じっていますか,-1,-1,3,1, 0:, 
13, 痛みがありますか,14,-1,2,1, , 
14, 強い痛みですか,-1,-1,3,1, , 
15, 10秒間呼吸の確認を行ってください。正常な呼吸はありますか,5,-1,1,3, , 1:2:
16, ,-1,-1, , , , 
17, ,-1,-1, , , , 
18, ,-1,-1, , , , 
19, ,-1,-1, , , , 
20, ,-1,-1, , , , 
21, ,-1,-1, , , , 
22, ,-1,-1, , , , 
23, ,-1,-1, , , , 
24, ,-1,-1, , , , 
25, ,-1,-1, , , , 
26, ,-1,-1, , , , 
27, ,-1,-1, , , , 
28, ,-1,-1, , , , 
29, ,-1,-1, , , , 
30, ,-1,-1, , , , 
